0866:        2ROAD
0867:        2HILL
0868:        3ENTER
0869:        4UPSTR
0870:        5DOWNS
0871:        6FORES
0872:        7FORWA
0873:        7CONTI
0874:        7ONWAR
0875:        8BACK
0876:        8RETUR
0877:        8RETRE
0878:        9VALLE
0879:       10STAIR
0880:       11OUT
0881:       11OUTSI
0882:       11EXIT
0883:       11LEAVE
0884:       12BUILD
0885:       12HOUSE
0886:       13GULLY
0887:       14STREA
0888:       15ROCK
0889:       16BED
0890:       17CRAWL
0891:       18COBBL
0892:       19INWAR
0893:       19INSID
0894:       19IN
0895:       20SURFA
0896:       21NULL
0897:       21NOWHE
0898:       22DARK
0899:       23PASSA
0900:       23TUNNE
0901:       24LOW
0902:       25CANYO
0903:       26AWKWA
0904:       27GIANT
0905:       28VIEW
0906:       29UPWAR
0907:       29UP
0908:       29U
0909:       29ABOVE
0910:       29ASCEN
0911:       30D
0912:       30DOWNW
0913:       30DOWN
0914:       30DESCE
0915:       31PIT
0916:       32OUTDO
0917:       33CRACK
0918:       34STEPS
0919:       35DOME
0920:       36LEFT
0921:       37RIGHT
0922:       38HALL
0923:       39JUMP
0924:       40BARRE
0925:       41OVER
0926:       42ACROS
0927:       43EAST
0928:       43E
0929:       44WEST
0930:       44W
0931:       45NORTH
0932:       45N
0933:       46SOUTH
0934:       46S
0935:       47NE
0936:       48SE
0937:       49SW
0938:       50NW
0939:       51DEBRI
0940:       52HOLE
0941:       53WALL
0942:       54BROKE
0943:       55Y2
0944:       56CLIMB
0945:       57LOOK
0946:       57EXAMI
0947:       57TOUCH
0948:       57DESCR
0949:       58FLOOR
0950:       59ROOM
0951:       60SLIT
0952:       61SLAB
0953:       61SLABR
0954:       62XYZZY
0955:       63DEPRE
0956:       64ENTRA
0957:       65PLUGH
0958:       66SECRE
0959:       67CAVE
0960:       69CROSS
0961:       70BEDQU
0962:       71PLOVE
0963:       72ORIEN
0964:       73CAVER
0965:       74SHELL
0966:       75RESER
0967:       76MAIN
0968:       76OFFIC
0969:       77FORK
0970:     1001KEYS
0971:     1001KEY
0972:     1002LAMP
0973:     1002HEADL
0974:     1002LANTE
0975:     1003GRATE
0976:     1004CAGE
0977:     1005ROD
0978:     1006ROD     (MUST BE NEXT OBJECT AFTER "REAL" ROD)
0979:     1007STEPS
0980:     1008BIRD
0981:     1009DOOR
0982:     1010PILLO
0983:     1010VELVE
0984:     1011SNAKE
0985:     1012FISSU
0986:     1013TABLE
0987:     1014CLAM
0988:     1015OYSTE
0989:     1016MAGAZ
0990:     1016ISSUE
0991:     1016SPELU
0992:     1016"SPEL
0993:     1017DWARF
0994:     1017DWARV
0995:     1018KNIFE
0996:     1018KNIVE
0997:     1019FOOD
0998:     1019RATIO
0999:     1020BOTTL
1000:     1020JAR
1001:     1021WATER
1002:     1021H2O
1003:     1022OIL
1004:     1023MIRRO
1005:     1024PLANT
1006:     1024BEANS
1007:     1025PLANT   (MUST BE NEXT OBJECT AFTER "REAL" PLANT)
1008:     1026STALA
1009:     1027SHADO
1010:     1027FIGUR
1011:     1028AXE
1012:     1029DRAWI
1013:     1030PIRAT
1014:     1031DRAGO
1015:     1032CHASM
1016:     1033TROLL
1017:     1034TROLL   (MUST BE NEXT OBJECT AFTER "REAL" TROLL)
1018:     1035BEAR
1019:     1036MESSA
1020:     1037VOLCA
1021:     1037GEYSE   (SAME AS VOLCANO)
1022:     1038MACHI
1023:     1038VENDI
1024:     1039BATTE
1025:     1040CARPE
1026:     1040MOSS
1027:     1050GOLD
1028:     1050NUGGE
1029:     1051DIAMO
1030:     1052SILVE
1031:     1052BARS
1032:     1053JEWEL
1033:     1054COINS
1034:     1055CHEST
1035:     1055BOX
1036:     1055TREAS
1037:     1056EGGS
1038:     1056EGG
1039:     1056NEST
1040:     1057TRIDE
1041:     1058VASE
1042:     1058MING
1043:     1058SHARD
1044:     1058POTTE
1045:     1059EMERA
1046:     1060PLATI
1047:     1060PYRAM
1048:     1061PEARL
1049:     1062RUG
1050:     1062PERSI
1051:     1063SPICE
1052:     1064CHAIN
1053:     2001CARRY
1054:     2001TAKE
1055:     2001T
1056:     2001KEEP
1057:     2001CATCH
1058:     2001STEAL
1059:     2001CAPTU
1060:     2001GET
1061:     2001G
1062:     2001TOTE
1063:     2001T
1064:     2002DROP
1065:     2002RELEA
1066:     2002FREE
1067:     2002DISCA
1068:     2002DUMP
1069:     2003SAY
1070:     2003CHANT
1071:     2003SING
1072:     2003UTTER
1073:     2003MUMBL
1074:     2004UNLOC
1075:     2004OPEN
1076:     2005NOTHI
1077:     2006LOCK
1078:     2006CLOSE
1079:     2007LIGHT
1080:     2007ON
1081:     2008EXTIN
1082:     2008OFF
1083:     2009WAVE
1084:     2009SHAKE
1085:     2009SWING
1086:     2010CALM
1087:     2010PLACA
1088:     2010TAME
1089:     2011WALK
1090:     2011RUN
1091:     2011TRAVE
1092:     2011GO
1093:     2011PROCE
1094:     2011CONTI
1095:     2011EXPLO
1096:     2011GOTO
1097:     2011FOLLO
1098:     2011TURN
1099:     2012ATTAC
1100:     2012KILL
1101:     2012FIGHT
1102:     2012HIT
1103:     2012STRIK
1104:     2012SLAY
1105:     2013POUR
1106:     2014EAT
1107:     2014DEVOU
1108:     2015DRINK
1109:     2016RUB
1110:     2017THROW
1111:     2017TOSS
1112:     2018QUIT
1113:     2018Q
1114:     2019FIND
1115:     2019WHERE
1116:     2020INVEN
1117:     2021FEED
1118:     2022FILL
1119:     2023BLAST
1120:     2023DETON
1121:     2023IGNIT
1122:     2023BLOWU
1123:     2024SCORE
1124:     2025FEE
1125:     2025FIE
1126:     2025FOE
1127:     2025FOO
1128:     2025FUM
1129:     2026BRIEF
1130:     2027READ
1131:     2027PERUS
1132:     2028BREAK
1133:     2028SHATT
1134:     2028SMASH
1135:     2029WAKE
1136:     2029DISTU
1137:     2030SUSPE
1138:     2030PAUSE
1139:     2030SAVE
1140:     2031HOURS
1141:     3001FEE
1142:     3002FIE
1143:     3003FOE
1144:     3004FOO
1145:     3005FUM
1146:     3050SESAM
1147:     3050OPENS
1148:     3050ABRA
1149:     3050ABRAC
1150:     3050SHAZA
1151:     3050HOCUS
1152:     3050POCUS
1153:     3051HELP
1154:     3064TREE
1155:     3064TREES
1156:     3066DIG
1157:     3066EXCAV
1158:     3068LOST
1159:     3069MIST
1160:     3079FUCK
1161:     3139STOP
1162:     3142INFO
1163:     3142INFOR
1164:     3147SWIM
