2avatcom  (tutor    a, 28 blocks)
  1 | 50 | 05/17/84 | 03/07/94 | s | s | David Si | es | UI BE{70} | bR | see "auth | ors" | space simu | lation | all | strategic | space simu | lation | 15.19.41. | dave runte | e | s | coserv | coserv | publish | i4a÷* | avatarbv | mu2+ «{75} | 0catnote | coserv | s0edit | 5 | e

=== block '*directory'  kind 00  0 words  (block 0)

=== block 'dungeoncom'  kind 41  320 words  (block 1)


































































































































































































































































































rrrrrrrrrr;;;;;;;;;;;;;;;;;;;;aaaaaaaaaaaaaaaaaaaaxxcaaaaaaaaaaaaa
acca
caaaaaaaaaaaaaacaacbjOgre
(beyqrlzq+/zt-×hdq0Osiri
8jl
        vjly[)8+1,+jdbp7Elf
4r9irf1{'61}8y6/w8×d5/Troll
(jt{'64}lly6--/y+/ha5zCirilian+jt(rflx[84r64↓+auMorloch
(f0↑tll/[e

=== block 'dungeoncom'  kind 41  320 words  (block 2)
3h8>↑xc÷rHuman
+n1(]jx]cg⌫a12÷kjGnome
8n10rh1/×-y3o=7rap3Dwarf
6j1
        sfl{'61}+5pjj+9ab2Giant
%flRxpzqc]45y÷pxlNomad
kahddh33-lhWarrior
11)6/3/ai(d,145hoNinja
z=<q.9⌫o{'74}k«d)99÷{75}noThief
p[a7[za÷abhcd9/3fihMage
l )eo7+plgd)s5fhhSorcererl«z]/-2plgd,u1dhpHealer
mbjc÷.[plfd9t1ghxWizard
qr8sn(uplbd,(zfhxScavengerv5]rn2c÷adhdd,+0gjhSeeker
t«r] z⌫{75}k%d,12÷ehoPaladin
1+j/o5÷akD/x6÷hoVillain
3
        r%p-×{75}mkgd7y4Dno



















































































































































































































































wrg0/e]↓>vnVh*qhs»ey
OrnamentWeapon
Belt
Paper
Boots
OrnamentArmor
Cloth
Cloth
Weapon
OrnamentWeapon
Dust
Gloves
Weapon
Hands
Helm
Armor
Weapon
Paper
Armor

=== block 'dungeoncom'  kind 41  320 words  (block 3)
Potion     Ornament   Cloth      Stick      Ornament   Shield     Sphere     Stick     
Weapon     Gloves     Stick      Amulet                Axe                   Belt      
           Scroll                Boots                 Bracers               Chain Ar  
mor        Cloak                 Sash                  Cross                 Crystal   
           Dagger                Dust                  Gloves                Hammer    
           Hands                 Helm                  Leather {70} armor      Mace      
           Manual                Plate Ar   mor        Potion                Ring      
           Robe                  Rod                   Scarab                Shield    
           Sphere                Staff                 Sword                 Gauntlets 
           Wand                  b          ssap                  oka                  
                                 o0>v)÷+]6v                                  b5p       
            11/05/97   00.35.11.  11/05/97   00.35.17. {'00}d×    aah{'00}f↑ cqap{'00}g{76}
e;bp{'00}g↓ g{75}b*a7  g;gδ>      hf↑g;      d{75}a8f*  r{'00}g{76} e3b1{'00}÷f; amh÷{'00} 
/dkah      {'00}{'00}a 5{'00}{'00}g↑ d]bmaa     ah{'00}d9  dib        {'00}      d{^06}↑   
baah       b{'00}ffaf a{'00}c{76} pbj{'00}{'00} h{'00}d0   qp         5÷{'00}{'00}5 xh{'00}b×bc
p/5        ÷x{'00}÷/  phh        pg%gyg⌫    dtgsg↓÷    hp         55g7g<g)   f9g>g;{'00}/
x{'00}g{76} c2e/yaa                                     {'00}{'00} {'00}÷     {'00}f
        
f*5//      xg;{'00}   5ph        x{'00}h               cl         g;hfw                
yl↓$2n(uj÷ v$+>e9%z ÷ 1nws 
        e8q÷ 9ryt,ym*s÷ /tjmj6p(«  )«){75}5=↓5 ]y1↓4 ↑⌫3p nggy ↑0÷  
av                                                                                     
                                 chg5                                                  
                                                       o⌫         c÷o⌫c÷o⌫   +7v       
ix+7vix+7v ixetapet   apg5       y⌫c÷3      apec<                                      
o                     chl5       ap                    o/j/a9l5j  c÷ap3aG53  aG69aG5   
a9r÷fpe    /c÷        b5fpjaC÷   ⌫b5uhb     9c5atpj    atbdtc5v   axcpg÷e÷u  alb÷jt5a  
a÷f5sxcg   aFpuabi    axapgadcw  ⌫b÷k9epm   pb5h5a÷k   l÷f=a5h    ×bf1d÷k    a1c5p1bb  
h÷c5cg     lpbb       a5cd÷b     apepf5÷c   pe1cg      d55dc      t÷g95b     ha÷ktpc   
da5m=bpm   5a5dacpi   lei×d÷m    Epl÷apc    ppbdapz    axf5sa5gpi lphdae     a⌫i÷zaxe53
a/ipla÷c7  5bpw×cf    5pbhpb     ÷phad÷a    dpadpa     5bal5k     pc5a=dc    d5db9bpk  
xapeblpi   1bpblapi   xb5ahbc    ac÷9a÷e    xpd1e5e    aladc                 c;        
c;         aa         ev÷        jp5÷(2d7)$ 3m+s{^06}⌫b«                       ixpa      
icnzx                                                                                  
                                                       ca÷r       ⌫bpm       d÷x÷i     
axh/b                                                                                  
                                                                                       
Grima Wo   rmtounge   Foo                   Firehawk              Tas                  
Zip                   Mouser                Doctor Z   ip         Radagast   the Brown 
Mickey                Talon                 Fenith                Zeno                 
                                                                  h8         =÷        
d÷         8÷a÷       q          -[p        =p         ↓qp        m5         ]÷p       

=== block 'dungeoncom'  kind 41  320 words  (block 4)
$sp
=p
m5
%p
.
d÷
gq
l%
$÷÷
=p5
no warrior in game is there?
qwert



'?//



{'44}I'?BI


aaAK



J//O



EIOI



q1Dghdjl;


ERE



AB'?BI J//O      

: !acdd


dddd



'?BI  J//O 


'?BI J//O : !

ring splendour..


hehe....they evil....

MANY TH!!!

no prob..


yuppers....you welcome.

anyone need warriors armor?

Hands


3
ax]fo;÷cxpdaaa
Damaged Hands

3
5,vo;÷cxpdaaa
Bronze Plate Mail
/@
dlal
x9cilaent39dIron Plate Mail

(zpcljl
x9cihcenx79dSteel Plate Mail
(6xfa1×a⌫
x9cihcen1-9dAdamantite Plate Mail
(+÷ia÷=÷a⌫
x9cihcen5)9dMithril Plate Mail
(=/lb7$÷a⌫
x9cihcen9,9fBronze Chain Mail
l<h
dlmc÷rxbpflafnt39
Iron Chain Mail

my/cljmc÷rxbpfhcfnx79
Steel Chain Mail
m5/fL÷a{75}c÷rxbpfhcfn1-9
Adamantite Chain Mail
m9{'00}ia=k÷a{75}c÷rxbpfhcfn5)9
Mithril Chain Mail
m=lb5k=a{75}c÷rxbpfhcfn9,9
Leather Armor

7m{70}
dn$;pla5cl
nt39
Padded Leather Armor
8hclmk;pla5chbnx79
Suede Leather Armor
8u{'00}fam{'00}a>;pla5chbn1-9
Studded Leather Armor
88pia÷m×a>;pla5chbn5)9
Cuirboulli Armor

8$lb5l×a>;pla5chbn9,9
Cloak


nm{70}
dno;÷l
ms29
Brown Cloak

ohchmo;÷hbmw69
White Cloak

oq/f⌫n{'00}q;;÷hbm0++5Black Cloak

o0/ia=m{'00}a;;÷hbm4(+5Grey Cloak

o75lb1m×a;;÷hbm8 +5Silver Cloak

.-{'00}ncll×a;;÷hbhm*[+5Grey Elven Robe

.=ocK÷a;;÷hbpm)×+5Cloak of Enchantment
.,5oc⌫k/a;;÷hbpm=↓+5Studded Cuirboulli
8.{'00}nc5l÷a>;pla5chbn/]9
Ninja's Armor

8]{'00}oc⌫k=a>;pla5chbn=↓9
Leather Girdle

eahcna;;÷hbhlv59bGirdle of Might

elpfabpa;;÷hbhalz99bGirdle of Strength
e5lbpa;;÷hbpal7=9dGirdle of Power

e*xncp5a;;÷hbpbl-÷9dGirdle of Giant Strength
e hoc{^60}a;;÷hbxbl)×9fLeather Boots

hm{70}
bo;÷lb

=== block 'dungeoncom'  kind 41  320 words  (block 5)
kq0bBoots of Swiftness
iahcja;;÷hbaku49bBoots of Evading

ii{'00}f<pa;;÷hbaky89bBoots of Stealth

iwpia9pa;;÷hbak2*9dBoots of Levitation
i9xlbppa;;÷hbak6$+p9Boots of Agility

i/÷[p-gj3b⌫pa;;÷hbbk+.+p9Boots of the Elven Lords
i i69-*l54c93a;;÷hbck4(+p9Helm of Sight

65lb×n{'00}a;;÷hbapm8 +÷5Mithril Helm

6-{'00}ncfl÷a⌫b÷hbahm*[2÷7Helm of Knowledge
6$oc<3{'00}a;;÷hbcxm$«+÷7Leather Cap

5m{70}
no;÷l
ms2
Bronze Helmet

6hclmlb÷hbmw69
Iron Helmet

6qpfan{'00}a⌫b÷hbam0+9
Steel Helmet

6xxia÷n×a⌫b÷hbam4(9
Adamantite Helmet
675lb5m×a⌫b÷hbahm8 +÷5Bronze Bracers

kfxcroc÷hblv59bIron Bracers

kqxfafoc÷hbhlz99bSteel Bracers

k3hia↓pa;c÷hbhl3/9bBracers of Strength
k-{'00}lb-pa;c÷hbpl7=9bBracers of Might

k=nc15a;c÷hbxl)×1dLeather Gloves

zm{70}
foc÷lxilbjpz1bGauntlets of Strength
0h/cvnoc÷lxihbjt31bGauntlets of Might
0r{'00}fanoc÷lxihbhjx71dThief's Gloves

00/iap5abj5lhbbj1-1dGauntlets of Power
00/ia5p{'00}a{^03}÷lxihbhj1-1dMithril Gauntlets
09xlb5{'00}a{^03}÷lxihbpj5)1dGauntlets of Slaying
0)÷nb5÷{'00}a{^03}÷lxihbpj9,1dWhite Flame Gauntlets
0,dshg
