# Fixes applied to the playable build (data_play/, ADVENTURE3000_fixed.BAS).
# data_print/ and ADVENTURE3000.BAS stay exactly as the magazine prints them;
# --no-fixes in the port selects those instead.
#
# Format:  <file>|<record or line>|<before>|<after>|<why>
# <record> is the 1-based record number for a data file, the line number for the program.

ADESCRIP|71|You'reein the giant room.|You're in the giant room.|the space between "You're" and "in" was typed as an e (the e is fully struck on all three scans); user asked for it to be corrected
ADESCRIP|34|You're at brink of small  it.|You're at brink of small pit.|the p is missing from the print in all three scans, leaving a one-character gap
ADESCRIP|46|You are in the soft  oom.|You are in the soft room.|the r is missing from the print in all three scans, leaving a one-character gap
ADESCRIP|27|You are near a window overlloking the pii.|You are near a window overlloking the pit.|"pii" for "pit" (the double l of "overlloking" is left alone: it is the author's own spelling, and harmless)

# --- program bugs.  Object numbers: 6 ming vase, 16 water, 17 oil, 20 food, 28 velvet pillow, 29 shards of pottery.
PROGRAM|6070|6070 Z9=FNA(22),S[17]=0,B0=0|6070 Z9=FNA(22),S[16]=0,B0=0|DRINK checks and drinks object 16 (water) but clears 17 (oil): the water stayed in your inventory and any oil in the cave vanished
PROGRAM|5980|5980 Z9=FNA(73),S[20]=0,B0=0|5980 Z9=FNA(73),S[20]=0|EAT correctly removes the food but also sets B0=0, emptying the bottle you are carrying
PROGRAM|7580|7580 Z9=FNA(43),S[28]=0,S[29]=L1|7580 Z9=FNA(43),S[6]=0,S[29]=L1|dropping the ming vase with no pillow under it prints "shatters into worthless crockery" and leaves the shards, but zeroes object 28 (the pillow) instead of 6 (the vase), so the vase stayed in your hands and the pillow was removed from the game

# --- the parser.  It looks for the place words ROCK, STAIRS, HOUSE, GRATE, STREAM, BRIDGE, PIT, ROAD ...
# (keywords 36-46) before it looks for a verb, and answers "What do you want to do with the grate?" to any
# sentence containing one -- so "unlock grate", "open grate", "cross bridge", "climb stairs" and "enter
# building" can never work, only the bare verb does.  The real HP 3000 does the same.  One new line lets
# the verbs that act on a place win: CROSS 113, CLIMB 114, JUMP 115, LOOK 118, ENTER 121, LEAVE 122,
# LOCK 130, UNLOCK 131, OPEN 134, CLOSE 135.  Other verbs still get the question ("take grate"), because
# their routines only know about carried things and would otherwise answer nothing at all.
PROGRAM|895||895 IF K[113]+K[114]+K[115]+K[118]+K[121]+K[122]+K[130]+K[131]+K[134]+K[135] THEN 1950|a verb that acts on a place wins over the place word: see above
PROGRAM|820|820 IF Z1>T3 THEN 900|820 IF Z1>T3 THEN 895|the end of the keyword scan jumps straight to the place-word check; send it through the new line first

# --- the name of a place word.  8390 looks a keyword up in the name list at 9960 but tests K[] before
# it reads, so it answers with the name before the right one; and the list has no "steps" (keyword 38),
# which puts every later name one place back and so cancels the error from HOUSE on.  Only ROCK and
# STAIRS come out wrong -- "take rock" asks "What do you want to do with the dwarf?".  Read first, then
# test, and give STEPS its name.
PROGRAM|8420|8420   IF K[Z1] THEN RETURN|8420   READ D$|read the name before testing the keyword
PROGRAM|8430|8430   READ D$|8430   IF K[Z1] THEN RETURN|read the name before testing the keyword
PROGRAM|9960|9960 DATA "large gold nugget","bars of silver","precious jewelry","many coins","several diamonds","fragile ming vase","glistening pearl","nest of golden eggs","jewel-encrusted trident","egg-sized emerald","platinum pyramid","golden chain","rare spices","persian rug","treasure chest","water","oil","brass lamp","keys","food","bottle","wicker cage","3-foot black rod","clam","magazine","bear","axe","velvet pillow","shards of pottery","oyster","bird","troll","dragon","snake","dwarf","rock","stairs","house","grate","stream","room","bridge","pit","volcano","road"|9960 DATA "large gold nugget","bars of silver","precious jewelry","many coins","several diamonds","fragile ming vase","glistening pearl","nest of golden eggs","jewel-encrusted trident","egg-sized emerald","platinum pyramid","golden chain","rare spices","persian rug","treasure chest","water","oil","brass lamp","keys","food","bottle","wicker cage","3-foot black rod","clam","magazine","bear","axe","velvet pillow","shards of pottery","oyster","bird","troll","dragon","snake","dwarf","rock","stairs","steps","house","grate","stream","room","bridge","pit","volcano","road"|the name list gets "steps" for keyword 38, so names and keywords line up
