date	time	player	version	minutes	seconds	ending	cave	points	turns	reincarnations	pauses	treasures	events
25-Feb-81	08:43	MURATORI	6.10/9	0	36	Quit	Open	0	8	0	0		SAFE
25-Feb-81	08:44	MURATORI	6.10/9	0	34	Quit	Open	25	13	0	0		SAFE
25-Feb-81	08:45	MURATORI	6.10/9	0	29	Quit	Open	25	7	0	0		
26-Feb-81	13:00	COOK	6.10/9	10	5	Quit	Open	0	49	0	0		SAFE
26-Feb-81	20:36	SHOOP	6.10/9	36	49	Paused	Open	168	1043	0	1	58	SNK/DOG/BLU/SAFE/COMBO/WMP/ANVIL/SWD/PYR/EMR/JOSH/CHEST
27-Feb-81	12:27	SHOOP	6.10/9	0	11	Quit	Open	168	1044	0	2	58	SNK/DOG/BLU/SAFE/COMBO/WMP/ANVIL/SWD/PYR/EMR/JOSH/CHEST
28-Feb-81	22:36	SHOOP	6.10/9	0	21	Quit	Open	169	570	0	1	62/167	DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG
2-Mar-81	22:18	SHOOP	6.10/9	2	40	Quit	Open	250	864	0	2	167	DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/VINE/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD
2-Mar-81	22:30	SHOOP	6.10/9	1	4	Quit	Open	250	861	0	2	167	DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/VINE/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD
2-Mar-81	22:32	SHOOP	6.10/9	0	37	Paused	Open	250	861	0	2	167	DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/VINE/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD
3-Mar-81	11:34	SHOOP	6.10/9	0	10	Quit	Open	302	1170	0	3	55/58/167	SNK/DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/VINE/BUSH/ROSE/WELL/COURT/CASTLE KEEP/COPTER/CTL RM/FLOOD/FALCON/VAULT/GARDEN
4-Mar-81	04:07	SHOOP	6.10/9	1	11	Quit	Open	311	978	0	2	55/58/62/167	DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD/FALCON/GARDEN
4-Mar-81	04:49	SHOOP	6.10/9	32	50	Quit	Open	311	1103	0	2	55/58/62/167	DOG/BLU/SAFE/COMBO/WMP/CHAIN/ANVIL/SWD/PYR/EMR/RUG/CHEST/QSAND/BUSH/ROSE/WELL/COURT/COPTER/CTL RM/FLOOD/FALCON/GARDEN
