Records whose lost leading character cannot be proven.
Written as "low"; "high" is the alternative (lost 2).

  rec  dun lvl    x   y    low   high
  116    1   1    1  18    311   2311
  135    1   1    2  18    110   2110
  151    1   1    3  15    210   2210
  233    1   2    6  12    411   2411
  240    1   2    7   7    100   2100
  261    1   2    9   4    122   2122
  266    1   2    9   9    210   2210
  269    1   2    9  12    622   2622
  273    1   2   10   4    322   2322
  348    1   3    3   1    101   2101
  363    1   3    5   4    211   2211
  364    1   3    5   5    201   2201
  417    1   3   14   4    510   2510
  427    1   3   16   2    101   2101
  471    1   3   23   4    700   2700
  474    1   3   24   1    601   2601
  483    1   3   25   4    410   2410
  506    1   3   29   3    300   2300
  778    1   5    3   5    112   2112
  874    1   5    8  11    211   2211
  983    1   6    5  14    410   2410
 1089    1   6   12   8    310   2310
 1093    1   6   12  12    311   2311
 1110    1   6   13  13    411   2411
 1135    1   6   15   6    210   2210
 1188    1   7    3   5    700   2700
 1205    1   7    5   6    413   2413
 1208    1   7    6   1    101   2101
 1212    1   7    6   5    600   2600
 1257    1   7   12   2    301   2301
 1280    1   8    3   3    114   2114
 1299    1   8    8   2    300   2300
 1315    1   8   12   2    700   2700
 1339    1   8   18   2    111   2111
 1346    1   8   20   1    511   2511
 1349    1   8   20   4    411   2411
 1367    1   8   25   2    600   2600
 1384    1   8   29   3    400   2400
 1436    2   1    3   5    112   2112
 1470    2   1    5   3    722   2722
 1532    2   1    8  11    311   2311
 1551    2   1    9  12    321   2321
 1566    2   2    1   3    111   2111
 1633    2   2    7  10    611   2611
 1635    2   2    8   2    200   2200
 1641    2   2    8   8    311   2311
 1661    2   2   10   8    201   2201
 1696    2   2   14   3    401   2401
 1719    2   2   16   6    710   2710
 1735    2   2   18   2    100   2100
 1757    2   2   20   4    210   2210
 1773    2   2   21  10    214   2214
 1838    2   3    5  11    123   2123
 1846    2   3    6   7    100   2100
 1852    2   3    7   1    321   2321
 1871    2   3    8   8    101   2101
 1872    2   3    8   9    432   2432
 1887    2   3    9  12    413   2413
 1909    2   3   11  10    103   2103
 1912    2   3   12   1    121   2121
 1919    2   3   12   8    131   2131
 1922    2   3   12  11    621   2621
 1923    2   3   12  12    432   2432
 1938    2   4    1   9    211   2211
 1978    2   4    5   1    311   2311
 2015    2   4    8   2    100   2100
 2024    2   4    8  11    401   2401
 2032    2   5    1   1    310   2310
 2066    2   5    4   5    401   2401
 2114    2   5    9   3    501   2501
 2116    2   5    9   5    110   2110
 2117    2   5    9   6    201   2201
 2126    2   5   10   5    211   2211
 2143    2   5   12   2    242   2242
 2160    2   5   13   9    301   2301
 2166    2   5   14   5    710   2710
 2171    2   5   14  10    410   2410
 2184    2   5   16   3    110   2110
 2197    2   5   17   6    110   2110
 2204    2   5   18   3    110   2110
 2212    2   5   19   1    101   2101
 2225    2   5   20   4    500   2500
 2230    2   5   20   9    241   2241
 2240    2   5   21   9    110   2110
 2243    2   5   22   2    613   2613
 2254    2   5   23   3    201   2201
 2277    2   5   25   6    410   2410
 2325    2   5   30   4    110   2110
 2326    2   5   30   5    301   2301
 2334    2   5   31   3    621   2621
 2335    2   5   31   4    411   2411
 2352    2   5   33   1    342   2342
 2369    2   5   34   8    201   2201
 2375    2   5   35   4    710   2710
 2380    2   5   35   9    210   2210
 2401    2   5   37  10    210   2210
 2451    2   6    1  14    110   2110
 2471    2   6    2  13    101   2101
 2499    2   6    3  20    710   2710
 2526    2   6    5   5    302   2302
 2538    2   6    5  17    101   2101
 2544    2   6    6   2    421   2421
 2608    2   6    9   3    510   2510
 2619    2   6    9  14    223   2223
 2651    2   6   11   4    200   2200
 2658    2   6   11  11    311   2311
 2666    2   6   11  19    213   2213
 2681    2   6   12  13    311   2311
 2687    2   6   12  19    611   2611
 2730    2   7    2  16    100   2100
 2759    2   7    4   7    211   2211
 2761    2   7    4   9    211   2211
 2791    2   7    6   1    301   2301
 2793    2   7    6   3    301   2301
 2800    2   7    6  10    400   2400
 2846    2   7    8  18    333   2333
 2852    2   7    9   5    110   2110
 2868    2   7   10   2    411   2411
 2881    2   7   10  15    300   2300
 2925    2   7   13   2    411   2411
 2945    2   7   14   3    300   2300
 2959    2   7   14  17    700   2700
 2983    3   1    1   1    211   2211
 3043    3   1    3  19    701   2701
 3047    3   1    4   2    100   2100
 3073    3   1    5   7    111   2111
 3101    3   1    6  14    700   2700
 3121    3   1    7  13    700   2700
 3122    3   1    7  14    100   2100
 3123    3   1    7  15    700   2700
 3151    3   1    9   1    101   2101
 3180    3   1   10   9    200   2200
 3197    3   1   11   5    400   2400
 3244    3   1   13  10    411   2411
 3252    3   1   13  18    110   2110
 3293    3   1   15  17    301   2301
 3304    3   1   16   7    110   2110
 3344    3   1   18   5    701   2701
 3345    3   1   18   6    211   2211
 3347    3   1   18   8    211   2211
 3349    3   1   18  10    411   2411
 3351    3   1   18  12    311   2311
 3372    3   1   19  12    310   2310
 3388    3   1   20   7    211   2211
 3390    3   1   20   9    411   2411
 3392    3   1   20  11    311   2311
 3408    3   1   21   6    200   2200
 3426    3   1   22   3    101   2101
 3428    3   1   22   5    101   2101
 3433    3   1   22  10    311   2311
 3445    3   1   23   1    101   2101
 3459    3   1   23  15    100   2100
 3462    3   1   23  18    100   2100
 3493    3   1   25   7    110   2110
 3501    3   1   25  15    100   2100
 3512    3   1   26   5    400   2400
 3531    3   1   27   3    200   2200
 3537    3   1   27   9    101   2101
 3565    3   1   28  16    110   2110
 3575    3   1   29   5    300   2300
 3587    3   1   29  17    101   2101
 3593    3   1   30   2    100   2100
 3629    3   2    2   2    301   2301
 3630    3   2    2   3    100   2100
 3631    3   2    2   4    711   2711
 3649    3   2    4   4    211   2211
 3664    3   2    6   1    611   2611
 3669    3   2    6   6    411   2411
 3671    3   2    6   8    101   2101
 3682    3   2    8   1    211   2211
 3694    3   2    9   4    700   2700
 3705    3   2   10   6    441   2441
 3711    3   2   11   3    610   2610
 3725    3   2   12   8    104   2104
 3748    3   3    2   6    601   2601
 3775    3   3    5   3    510   2510
 3791    3   3    6   9    100   2100
 3805    3   3    8   3    111   2111
 3809    3   3    8   7    110   2110
 3816    3   3    9   4    600   2600
 3818    3   3    9   6    602   2602
 3835    3   3   11   3    410   2410
