word  code (1-99 dir, 100-129 sys, 200-244 verb, 500-599 adj, 1500+ noun)
n        1
ne       2
e        3
se       4
s        5
sw       6
w        7
nw       8
up       5000
u        9
d        10
down     5001
in       5002
inside   5002
out      12
clockw   13
cl       13
counte   14
cc       14
ups      15
ds       16
board    5003
disemb   18
cross    19
look     103
l        103
i        104
wait     112
take     201
get      201
drop     202
pick     203
inward   11
cl       13
board    2800
goodby   101
time     111
shatte   219
drink    227
pearsh   527
oval     554
square   560
big      576
penny    1551
medall   1567
shovel   1645
vessel   1649
cane     1657
washer   1664
sun      3006
e        3
down     2800
clockw   13
ups      15
dig      235
throw    239
yellow   517
platin   519
crysta   522
red      532
canvas   570
turquo   581
hen      1517
rrwall   1555
shirt    1619
cylind   1651
hyypti   1674
cyclop   1706
myself   2704
in       2800
everyt   2801
parkin   3004
southw   6
UP       9
UP       2809
bye      101
ti       111
alot     0
plover   240
marble   510
martin   558
geolog   571
old      584
grate    1523
gratin   1523
tea-se   1527
facepl   1531
scroll   1558
flask    2508
parchm   1673
boat     1611
statue   1646
spygla   1653
mac      1676
shithe   200
hook     2800
into     2703
ne       2
southe   4
ds       16
i        104
inform   108
recomm   118
place    229
rub      236
xyzzy    240
1979     512
silken   520
chevy    543
amazon   555
orange   567
bread    1515
helmet   1522
winera   1528
coin     1553
shield   1542
spaces   1557
pistol   1564
impres   1659
fuse     1663
pond     1672
mailbo   1693
nw       8
disemb   18
look     103
brief    107
?        108
please   0
,        0
abra     241
veneer   507
pendan   1504
bird     2503
hooks    1534
guide    1603
trumpe   1622
broach   1629
cognac   1641
knob     1654
receiv   1677
notebo   1691
on       2700
but      2802
fence    2803
using    2806
cave     3002
lot      3005
shelf    3010
up       2800
downs    16
inven    104
thank    117
wave     209
unhook   226
plugh    240
move     242
copper   501
mail     557
displa   572
ivory    573
famulu   580
coil     2502
flags    1519
gate     1612
bangle   1633
fusebo   1662
fries    1675
handse   1677
fuckin   200
"0"      2710
except   2802
tunnel   3003
northw   8
ascend   9
enter    11
assist   105
pick     203
open     213
brass    504
iron     505
havana   564
purple   568
rubber   569
dedica   1524
broada   1544
ewall    1574
rat      1614
watch    1642
sack     1666
hammer   1668
tree     2517
"1"      2711
light    2800
under    2808
northe   2
save     109
bug      118
due      0
take     201
kill     208
twist    218
attack   233
pull     237
gold     503
miner'   509
obsidi   523
magic    530
post-o   537
oak      545
black    549
sharp    585
curtai   1532
vase     1549
van      1610
glass    1605
calyps   1618
cloak    1623
doll     1671
charm    1708
"2"      2712
s        5
exit     12
cross    19
hello    116
cli      122
tie      205
fuck     212
put      229
blind    244
golden   503
pewter   511
small    533
mailin   542
withdr   544
interp   547
coral    556
wooden   579
shade    582
pine     583
stake    1505
monume   1524
scepte   1541
mask     1559
slot     2509
pyrami   1604
chimer   1616
ukulel   1635
5k       1635
moonro   1639
vine     2515
disk     2520
"3"      2713
stars    3008
u        9
outsid   12
cc       14
b        118
the      0
mother   0
turn     211
close    214
break    219
unlock   224
swing    238
rusty    506
laser    529
green    536
grolsc   539
lemon    553
thick    565
abacus   1625
tort     1627
amulet   1630
spearg   1631
ruby     1637
inscri   1644
dowel    1652
off      2701
"4"      2714
mounta   3001
w        7
south    5
d        10
score    102
rtod     114
thissa   119
oh       0
poke     243
tiny     526
walkin   566
bottle   2512
dumbwa   1540
band     1632
glove    1665
damn     200
"5"      2715
LIGHT    222
LIGHT    1522
downwa   9
mtbl     123
drop     202
scale    220
devour   228
transl   234
local    515
metal    521
blue     531
orient   577
key      2501
dime     1550
candle   1503
blade    1562
nwall    1573
sandwi   1589
label    1606
envelo   1608
animal   1626
plank    1647
carpet   1680
nest     1709
fucker   200
"6"      2716
INSIDE   11
INSIDE   2703
moon     3007
canyon   3009
stop     101
h        108
y2       113
thanks   117
of       0
and      0
can      541
bronze   546
trap     578
wood     579
hardbo   586
money    2504
bill     1554
box      2510
lamp     1522
beaujo   1588
cube     2506
quarte   1552
ring     1560
tommyg   1568
slip     1661
monste   2514
case     1667
door     2516
stick    1707
shit     200
"7"      2717
me       2705
cadabr   2706
hands    2807
downst   16
invent   104
get      201
feed     207
po       537
p.o      537
servic   550
ten-do   561
egg      1518
sculpt   1524
flashl   1565
opener   1529
pirate   1613
eye      1617
codex    1624
diamon   1638
magazi   1640
"8"      2718
eye      2707
hand     2807
north    1
DOWN     10
DOWN     2810
descen   10
end      101
l        103
verbos   106
info     108
D2       204
push     210
medium   534
voodoo   574
button   2513
scimit   1628
cigar    1650
"9"      2719
"r"      2720
n        1
se       4
upward   9
by       101
help     108
hi       116
to       0
from     0
is       0
shake    215
consum   228
brown    513
jewell   518
"s"      552
scienc   559
cloudy   562
viewin   575
rope     2502
corksc   1530
machet   1563
point    1607
flute    1609
emeral   1636
rug      1680
bastar   200
bitch    200
HOOK     225
HOOK     1534
sw       6
west     7
BOARD    17
BOARD    1647
status   121
expres   124
eat      228
expres   516
"t"      551
round    563
lance    1506
tablet   1533
bracel   1539
robe     1543
beer     2511
syrian   1589
hole     1643
escutc   1658
sign     2518
you      2804
east     3
leave    12
quit     101
sc       102
recall   110
wait     112
r        118
read     217
smash    219
climb    220
exting   221
lock     223
titani   528
tuna     540
$10      561
corn     1516
wine     1588
dial     1556
pearl    1561
raft     1566
pieta    1620
strada   1621
IN       11
IN       2703
with     2805
out      12
counte   14
upstre   15
where    115
log      120
good     0
go       0
are      0
untie    206
abraca   241
silver   502
signal   508
strang   514
aztec    524
blank    525
large    535
p.o.     537
brador   538
white    548
train    2505
paper    2507
wallpo   1573
poem     1573
spider   1615
map      1669
neckla   1670
book     2519
asshol   200
inside   2800
all      2801
