WEIRD WOOD II - GAME TEXT IN SCREEN CASE
========================================
Every string literal in the listing, with letter case inverted back to
what the C64 actually displayed.  Line number, then the string(s).
Multi-space runs are the author padding to the 40-column screen width.

12     please insert data disk & press return
15     ww 47
22     p
100      WEIRD WOOD II
104    ww 43
111    It's very dark in here.
114    This room does not exist.
115    ww 40
131    ww 41
134     water
135     ruby
140    ww 42
157    ww 48
180     or
185    (The Goblin Strikes Back)
192    The light is getting brighter.
198    Ok.
216    a
217    narthex
217    Look it up cretin!
222    teleport
223    possess
224    find
225    room
225    You are in room
226    new
227    locate
228    cheat
230    mortal
245    How many times?
255    times
276    ?syntax  error in 14702
278    ready.
280    list
280    lI
280    10 sys(2076)
282    list
282    lI
284    run
284    ?undef'd statement error
286    Fooled you!!
293    I am unable to find 
297    There is 
297     in room
298    I am unable to possess 
330    You can't go that way!
332    You can't get in with out a pass.
337    The lift can go no farther.
339    You have just fallen to your death!
340    I'm sorry but that room hasn't been     built yet!
341    The wall is too high.
344    You have just fallen in the river!
362    A fierce orc blocks the way!
371    Have you considered all the possibilites
372    that down might offer you?
373     top 
374    Ok, I'm only doing this because I like
375    your robot.
377     ground 
379    This is the
379    floor.
384    Suddenly an alarm bell rings and a dwarfappears before you, 
385    You will have to   drop all metal objects before you can   continue.
386     he says.
394    Suddenly an orc leaps in front of you
395    So you have come back have you.
395     he    says.
396    You have just walked into a closed door.
397    As you try to do that the dragon attacksyou!
434    door
448    There isn't a 
448     door.
455    door
466    I can't see a door.
469    Which door?
485     what?
495    I don't see 
495     here.
496    guv
496    gov
497    Dear me, that's not how we spell
580    the
580    go
580    and
580    once
593    Recursion is not my strong point!
594    into
594    in
595    onto
595    on
605    it
605    him
630    a
635    an
640    that
660    ww
660    ,s,r
774     years for 
875    I'm bored lets try 
890    lie down
890    enter bed
890    enter couch
905    For your breach of regulations you have been sent to
910     solitary confinement!!
920    You are transferred to your cell.
940    As you try to do that a small dwarf
942    jumps out and stops you.
950    Marvin says, 
951    Brain the size of a planetand I have to play this silly game.
952    I think I should tell you how depressed I am!
953    I have this terrible pain down my left side.
954    Life! Don't talk to me    about life.
955    You are a depressingly    stupid human.
1000   You already have 
1000   , idiot!!
1001   an up
1002   The rope is tied on the far bank.
1003   an all
1005   I don't think 
1005    will like that!
1007   You can't take 
1008   You can't carry any more.
1010   Taken.
2000   Dropped.
2000   an all
2001   You don't have 
2002   throw
2004   You missed.
2006   Ok.
2006   Splash!
2485   The rope catches the top of the wall andholds firm.
2930   Dropped.
2933    is pleased with   your honesty.
3003   on
3011   The
3011    looks normal to me.
3017   on
3018   There is nothing 
3018    the 
3061   ww
3061   ,s,r
3070   You can just make out a name tab on the
3071   Mouldy garments. The tab reads 'Prisoner
